"gID";"T";"x";"y";"itemInCraneID" 
0;0.0;0;0;null;
0;3.0;-15;5;null;
0;13.0;-15;5;2561;
0;71.0;275;5;2561;
0;81.0;275;5;null;
0;139.0;-15;5;null;
0;149.0;-15;5;2562;
0;291.0;695;5;2562;
0;301.0;695;5;null;
0;443.0;-15;5;null;
0;453.0;-15;5;2563;
0;468.0;60;5;2563;
0;478.0;60;5;null;
0;493.0;-15;5;null;
0;503.0;-15;5;2564;
0;520.0;70;5;2564;
0;530.0;70;5;null;
0;547.0;-15;5;null;
0;557.0;-15;5;2565;
0;596.0;180;5;2565;
0;606.0;180;5;null;
0;645.0;-15;5;null;
0;655.0;-15;5;2566;
0;698.0;200;5;2566;
0;708.0;200;5;null;
0;751.0;-15;5;null;
0;761.0;-15;5;2567;
0;818.0;270;5;2567;
0;828.0;270;5;null;
0;885.0;-15;5;null;
0;895.0;-15;5;2568;
0;954.0;280;5;2568;
0;964.0;280;5;null;
0;1023.0;-15;5;null;
0;1033.0;-15;5;2569;
0;1120.0;420;5;2569;
0;1130.0;420;5;null;
0;1217.0;-15;5;null;
0;1227.0;-15;5;2570;
0;1340.0;550;5;2570;
0;1350.0;550;5;null;
